,names,price,stars,moisturiser,toner,mask,cleanser,exfoliator,oil,serums,hyperpigmantation,sensitive_skin,gluten_free,vegan,oily_skin,dry_skin,day_cream,night,wrinkles,acne,spf,eye_cream,cruelty_free,brand,clusters
49,The Ordinary Caffeine Solution 5% + EGCG,7.8,4.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary,0
50,The INKEY List Oat Cleansing Balm,12.4,3.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,5
51,Supergoop! Play Everyday Lotion SPF 50 with Sunflower Extract,22.6,4.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,goop,6
52,The Ordinary Alpha Arbutin 2% + HA Concentrated Serum,10.4,4.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary,0
53,La Roche-Posay Anthelios Anti-Shine Sun Protection Invisible SPF50+ Face Mist,15.82,4.280228519195615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,la roche-posay,6
54,The Ordinary Niacinamide 10% + Zinc 1% Supersize Serum,12.1,4.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary,0
55,The Ordinary Azelaic Acid Suspension 10%,10.4,4.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary,6
56,The INKEY List Niacinamide,9.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,0
57,"The Ordinary ""Buffet"" Multi-Technology Peptide Serum",17.4,4.53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,6
58,The INKEY List Retinol Serum,12.4,4.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,0
59,The Ordinary Retinol Serum 0.5% in Squalane,7.8,4.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
60,Ultra Violette Supreme Screen Hydrating Facial Skinscreen SPF 50+,38.4,4.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ultra violette,6
61,"CeraVe SA Smoothing Cleanser with Salicylic Acid for Dry, Rough & Bumpy Skin",13.56,4.280228519195615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cerave,5
62,The INKEY List Caffeine Eye Serum,11.2,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,the inkey list,1
63,The Ordinary Lactic Acid 10% + HA 2% Superficial Peeling Formulation,8.3,4.73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary,3
64,CeraVe Foaming Cleanser with Niacinamide for Normal to Oily Skin,10.74,4.280228519195615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cerave,5
65,The Ordinary 10% Argireline Solution,8.8,3.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
66,The INKEY List Omega Water Cream Moisturiser,11.2,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,9
67,"The INKEY List Vitamin B, C and E Moisturizer",6.7,4.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,the inkey list,6
68,Drunk Elephant D-Bronzi Anti-Pollution Sunshine Drops,34.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drunk elephant,3
69,Supergoop! Supersize Unseen Sunscreen SPF 30,46.0,4.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,goop,6
70,The Ordinary Retinol Serum 1% in Squalane,8.3,4.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
71,The Ordinary Natural Moisturising Factors + HA,6.0,4.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,the ordinary,6
72,The INKEY List Succinic Acid Blemish Treatment,9.0,4.56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the inkey list,0
73,The Ordinary 100% Organic Cold-Pressed Rose Hip Seed Oil,10.2,4.67,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
74,The Ordinary Vitamin C Suspension 23% + HA Spheres,7.3,3.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
75,Thank You Farmer Sun Project Light Sun Essence SPF50,23.7,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,thank you farmer,6
76,Summer Fridays ShadeDrops Broad Spectrum SPF 30 Mineral Milk Sunscreen,39.55,4.280228519195615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,summer fridays,6
77,The Ordinary Granactive Retinoid Serum 5% in Squalane,15.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
78,The Ordinary Lactic Acid 5% + HA 2% Superficial Peeling Formulation,7.3,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary,1
79,Paula's Choice Clear Cleanser,20.0,4.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,paula's choice,5
80,PIXI Glow Tonic,20.3,4.41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,pixi,1
81,The INKEY List Peptide Moisturizer,17.3,4.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,the inkey list,6
82,Weleda Skin Food,15.2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,weleda,4
83,CeraVe PM Facial Moisturising Lotion with Ceramides for Normal to Dry Skin,14.69,4.280228519195615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cerave,6
84,The INKEY List Tranexamic Acid Serum,17.3,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exa,9
85,Ultra Violette Queen Screen Lightweight Skinscreen SPF50+,40.6,3.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ultra violette,6
86,The INKEY List Polyglutamic Acid Serum,16.3,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,0
87,The Ordinary Vitamin C Suspension Cream 30% in Silicone,7.8,3.68,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,9
88,The INKEY List Retinol Eye Cream,12.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,the inkey list,9
89,Glow Recipe Plum Plump Hyaluronic Cream,39.5,4.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe,3
90,The Ordinary Salicylic Acid 2% Masque,12.4,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary,1
91,The Ordinary Ascorbic Acid 8% + Alpha Arbutin 2%,11.4,4.44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
92,The Ordinary Salicylic Acid 2% Anhydrous Solution,5.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the ordinary,3
93,Caudalie Beauty Elixir,13.56,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,caudalie,8
94,CeraVe Hydrating Cleanser,16.95,4.280228519195615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cerave,5
95,The Ordinary Retinol Serum 0.2% in Squalane,7.3,4.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
96,The Ordinary Buffet Supersize Serum,31.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,3
97,PIXI Glow Tonic,12.8,4.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pixi,1
98,The INKEY List Fulvic Acid Brightening Cleanser,12.7,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,3
99,REN Travel Size Clean Skincare Ready Steady Glow Daily AHA Tonic,18.0,4.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,ren,8
100,RevitaLash Advanced Eyelash Conditioner 2,102.5,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revitalash,3
101,The INKEY List Hyaluronic Acid Cleanser,11.2,4.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,5
102,CeraVe Eye Repair Cream,13.56,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cerave,3
103,Paula's Choice 10% Azelaic Acid Booster,39.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,paula's choice,8
104,Paula's Choice Clinical 1% Retinol Treatment - Trial Size,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,paula's choice,3
105,Glow Recipe Plum Plump Hyaluronic Serum,41.8,4.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe,0
106,Glow Recipe Watermelon Glow Pink Juice Moisturizer,22.0,4.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe,6
107,La Roche-Posay Anthelios UVMune 400 Hydrating Suncream SPF50,20.34,4.280228519195615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,la roche-posay,6
108,The INKEY List Brighten-I Eye Cream,12.4,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,the inkey list,9
109,La Roche-Posay Cicaplast Baume Lips,7.91,4.280228519195615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,la roche-posay,1
110,Ultra Violette Lean Screen Mineral Mattifying Fragrance Free Skinscreen SPF50,38.4,3.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,ultra violette,6
